field_1,Node,field_3,field_4,field_5,id,n,distance,feature_x,feature_y,nearest_x,nearest_y
true,624,0,12.197566999999999,45.015872999999999,,1,0.000000041033216,12.197566999999999,45.015872999999999,12.197566986200759,45.015872961356685
true,625,0,12.253422000000000,44.977535000000003,,1,0.000000047784474,12.253422000000000,44.977535000000003,12.253421959969115,44.977534973906245
true,627,0,12.258440000000000,44.969878999999999,,1,0.000000116867710,12.258440000000000,44.969878999999999,12.258440085520638,44.969879079651001
true,629,0,12.222623000000000,45.010978999999999,,1,0.000000326955658,12.222623000000000,45.010978999999999,12.222622870000000,45.010978699999995
true,630,0,12.277258000000000,44.956856000000002,,1,0.000000241662958,12.277258000000000,44.956856000000002,12.277257949316930,44.956855763711594
true,632,0,12.294682999999999,44.954211999999998,,1,0.000000235684685,12.294682999999999,44.954211999999998,12.294683023909119,44.954212234468820
true,633,0,12.250235999999999,44.984496999999998,,1,0.000016515724765,12.250235999999999,44.984496999999998,12.250220393097457,44.984491596875202
true,638,0,12.243955000000000,44.996983000000000,,1,0.000000363400434,12.243955000000000,44.996983000000000,12.243954637162606,44.996982979778693
true,640,0,12.251011000000000,44.982208000000000,,1,0.000000013786919,12.251011000000000,44.982208000000000,12.251011012323010,44.982208006182439
true,644,0,12.298010000000000,44.953957000000003,,1,0.000000420594821,12.298010000000000,44.953957000000003,12.298009870000000,44.953956599999998
true,646,0,12.201012000000000,45.015059999999998,,1,0.000000351931481,12.201012000000000,45.015059999999998,12.201012063354838,45.015060346181933
true,647,0,12.242226000000000,45.003467999999998,,1,0.000000562227713,12.242226000000000,45.003467999999998,12.242225650000000,45.003467559999997
true,649,0,12.224610999999999,45.009250999999999,,1,0.000000088055132,12.224610999999999,45.009250999999999,12.224610942238984,45.009250933536691
true,650,0,12.268641000000001,44.961174000000000,,1,0.000000216790575,12.268641000000001,44.961174000000000,12.268641095858923,44.961174194445931
true,654,0,12.168270000000000,45.027797999999997,,1,0.000000293218715,12.168270000000000,45.027797999999997,12.168269983232252,45.027797707261101
true,659,0,12.289895000000000,44.954700000000003,,1,0.000000473814306,12.289895000000000,44.954700000000003,12.289895059999999,44.954700469999999
true,660,0,12.243752000000001,45.000610000000002,,1,0.000000498731950,12.243752000000001,45.000610000000002,12.243752497959232,45.000610027751797
true,662,0,12.235970999999999,45.007247999999997,,1,0.000000033705746,12.235970999999999,45.007247999999997,12.235971008330834,45.007248032659987
true,663,0,12.256143000000000,44.973457000000003,,1,0.000043961528083,12.256143000000000,44.973457000000003,12.256106253829648,44.973432868383483
true,664,0,12.206535000000001,45.014049999999997,,1,0.000000401114625,12.206535000000001,45.014049999999997,12.206534927791195,45.014049605438430
true,665,0,12.254707000000000,44.975563000000001,,1,0.000000312134631,12.254707000000000,44.975563000000001,12.254707261487150,44.975563170447934
true,666,0,12.160081999999999,45.027904999999997,,1,0.000000485717730,12.160081999999999,45.027904999999997,12.160082014136773,45.027904514488029
true,667,0,12.245110000000000,44.994945999999999,,1,0.000041146553600,12.245110000000000,44.994945999999999,12.245073860009086,44.994926329211253
true,670,0,12.252419000000000,44.979401000000003,,1,0.000000254176533,12.252419000000000,44.979401000000003,12.252419227187801,44.979401113979883
true,675,0,12.246331000000000,44.992645000000003,,1,0.000013548713896,12.246331000000000,44.992645000000003,12.246319099844232,44.992638522813813
true,679,0,12.187371000000001,45.021217000000000,,1,0.000000426228773,12.187371000000001,45.021217000000000,12.187371198975063,45.021217376934864
